sophTimes,seniorTimes
10:36.9,9:30.54
9:59.57,9:30.55
11:09.08,9:30.68
9:43.34,9:30.76
9:50.39,9:30.98
9:36.59,9:30.99
10:44.03,9:31.03
10:37.1,9:31.07
10:14.98,9:31.17
10:11.82,9:31.18
10:37.04,9:31.19
9:56.23,9:31.30
11:13.6,9:31.31
9:40.73,9:31.42
9:38.23,9:31.44
9:44.71,9:31.44
10:12.03,9:31.57
9:56.42,9:31.60
9:33.89,9:31.63
10:11.10,9:31.70
9:48.62,9:31.71
9:56.05,9:31.72
10:08.96,9:31.82
10:08.48,9:31.88
9:33.92,9:31.97
10:16.93,9:31.99
9:34.95,9:32.01
9:49.98,9:32.04
10:18.26,9:32.05
10:05.38,9:32.07
9:18.73,9:32.10
10:14.24,9:32.16
9:53.34,9:32.16
10:12.17,9:32.18
9:56.91,9:32.29
10:23.77,9:32.36
9:55.30,9:32.46
10:44.6,9:32.53
10:15.69,9:32.55
10:17.36,9:32.66
10:10.95,9:32.80
10:16.54,9:32.83
10:07.80,9:32.86
10:22.99,9:32.94
9:38.34,9:32.94
9:41.17,9:33.00
9:58.55,9:33.01
9:42.52,9:33.06
10:07.92,9:33.13
10:00.24,9:33.26
9:38.75,9:33.29
10:06.74,9:33.29
9:46.36,9:33.31
9:56.18,9:33.32
10:31.41,9:33.33
10:08.61,9:33.36
10:11.53,9:33.41
9:40.14,9:33.41
9:56.48,9:33.49
10:27.92,9:33.50
9:46.32,9:33.61
9:37.4,9:22.17
11:48.9,9:33.71
9:46.84,9:33.73
9:49.89,9:33.74
9:41.68,9:33.77
10:23.20,9:33.90
10:40.91,9:33.97
10:31.2,9:33.98
10:33.28,9:34.08
9:56.38,9:34.11
9:58.06,9:34.29
10:57.7,9:34.35
10:48.85,9:34.36
10:23.50,9:34.42
9:38.47,9:34.43
11:06.25,9:34.46
10:01.42,9:34.48
10:19.97,9:34.50
10:53.88,9:34.52
10:04.26,9:34.64
9:56.30,9:34.65
10:02.88,9:34.74
10:43.37,9:34.75
10:02.23,9:34.75
10:04.85,9:34.92
10:04.53,9:34.96
10:14.86,9:35.01
9:53.55,9:35.02
11:34.0,9:35.21
10:09.31,9:35.23
10:01.53,9:35.25
11:31.5,9:35.26
10:42.02,9:35.28
10:18.01,9:35.30
10:11.77,9:35.39
9:53.95,9:35.39
10:19.84,9:35.41
10:09.75,9:35.52
10:05.05,9:35.60
9:37.96,9:35.63
9:58.16,9:35.66
9:38.88,9:35.66
9:36.62,9:35.67
9:40.51,9:35.69
9:45.85,9:35.75
10:06.69,9:35.75
10:12.70,9:35.78
9:53.31,9:35.80
10:56.05,9:35.85
9:29.41,9:35.89
10:05.36,9:35.92
10:49.82,9:35.93
10:10.15,9:35.97
10:08.42,9:36.00
10:03.25,9:36.00
10:28.70,9:36.04
9:37.67,9:36.08
10:05.79,9:36.09
9:47.73,9:36.13
9:40.56,9:36.13
10:24.68,9:36.21
10:04.64,9:36.22
10:03.24,9:36.27
10:03.24,9:36.27
9:59.92,9:36.32
9:31.74,9:36.36
10:00.22,9:36.36
10:33.97,9:36.41
10:26.85,9:36.47
11:10.08,9:36.48
10:02.55,9:36.54
9:53.91,9:36.56
10:25.58,9:36.59
