sophTimes,seniorTimes
12:11.73,10:00.95
10:17.96,10:01.03
10:17.30,10:01.03
10:32.0,10:01.11
10:37.51,10:01.12
11:26.86,10:01.17
10:56.47,10:01.17
10:29.01,10:01.19
10:58.08,10:01.19
10:21.19,10:01.37
10:00.99,10:01.39
10:50.47,10:01.42
10:41.08,9:55.5
10:34.04,10:01.48
9:46.87,10:01.48
10:32.05,10:01.48
10:10.92,10:01.51
10:29.0,10:01.57
10:30.00,10:01.59
10:31.75,10:01.62
11:30.47,10:01.65
10:32.54,10:01.66
10:00.26,10:01.66
10:28.41,10:01.69
11:16.02,10:01.76
10:28.22,10:01.77
10:33.35,10:01.80
10:09.10,10:01.81
10:21.80,10:01.86
10:36.35,10:01.88
10:27.77,10:01.94
10:27.64,10:01.96
11:12.94,10:02.01
11:37.75,10:02.08
10:30.69,10:02.08
10:45.38,10:02.12
10:26.66,10:02.13
10:37.38,10:02.13
9:58.7,10:02.15
10:37.11,10:02.15
11:02.73,10:02.17
10:25.87,10:02.20
10:30.67,10:02.20
9:56.31,10:02.24
10:59.52,10:02.24
10:30.87,10:02.31
10:59.62,10:02.31
10:35.50,10:02.38
10:26.19,10:02.39
10:17.68,10:02.43
10:17.92,10:02.44
10:35.80,10:02.45
10:34.75,10:02.45
12:02.74,10:02.53
10:41.76,10:02.59
10:38.47,10:02.61
9:51.30,10:02.61
10:39.5,10:02.63
10:49.54,10:02.70
10:10.97,10:02.72
10:15.88,10:02.72
9:53.72,10:02.82
10:38.19,10:02.85
10:52.72,10:02.94
10:17.65,10:02.95
10:28.93,10:02.96
10:36.53,10:02.98
10:52.58,10:03.07
10:33.33,10:03.12
10:14.99,10:03.14
10:39.41,10:03.15
10:41.34,10:03.16
10:30.98,10:03.17
10:46.05,10:03.31
10:42.17,10:03.35
10:09.71,10:03.36
10:51.26,10:03.37
10:48.10,10:03.38
10:22.37,10:03.39
9:52.14,10:03.40
10:54.27,10:03.42
10:34.18,10:03.45
10:58.17,10:03.46
10:22.34,10:03.47
9:49.81,10:03.55
10:55.78,10:03.57
11:08.08,10:03.62
10:27.25,10:03.62
10:23.73,10:03.63
10:33.0,10:03.64
10:16.25,10:03.66
10:15.55,10:03.67
10:12.57,10:03.67
9:45.83,10:03.69
10:01.26,10:03.70
11:10.86,10:03.70
10:35.97,10:03.73
10:47.85,10:03.74
10:16.50,10:03.74
10:23.57,10:03.80
10:28.2,10:03.82
10:08.09,10:03.90
10:27.92,10:03.92
10:25.11,10:03.98
10:56.51,10:04.01
10:08.28,10:04.02
9:56.65,10:04.04
10:49.21,10:04.06
10:43.67,10:04.16
10:38.79,10:04.16
10:25.47,10:04.25
10:18.34,10:04.27
11:33.50,10:04.31
10:40.57,10:04.31
10:37.96,10:04.32
10:24.06,10:04.35
10:42.98,10:04.36
11:13.0,10:04.38
10:49.44,10:04.41
11:04.39,10:04.44
10:39.32,10:04.45
10:25.36,10:04.46
10:28.48,10:04.46
10:29.52,10:04.51
10:16.14,10:04.53
11:05.25,10:04.53
10:17.31,10:04.53
10:31.18,10:04.57
9:59.83,10:04.60
10:45.39,10:04.61
10:17.00,10:04.62
10:47.87,10:04.67
11:08.93,10:04.70
12:19.06,10:04.74
10:18.77,10:04.77
9:58.45,10:04.90
11:02.61,10:04.92
11:57.08,10:04.93
10:19.85,10:04.95
9:57.16,10:04.95
9:55.63,10:04.96
10:28.12,10:05.03
10:43.09,10:05.04
10:19.60,10:05.06
10:22.44,10:05.06
11:06.27,10:05.10
11:18.26,10:05.12
10:45.80,10:05.12
10:20.75,10:05.13
10:46.4,10:05.17
10:19.04,10:05.22
10:42.25,10:05.24
9:35.26,10:05.24
10:16.95,10:05.24
11:07.41,10:05.25
10:11.48,10:05.33
10:59.71,10:05.33
10:54.97,9:55.8
11:05.00,10:05.36
10:23.02,10:05.36
9:55.7,10:05.42
11:07.00,10:05.47
10:44.18,10:05.48
10:20.25,10:05.60
10:24.24,10:05.66
10:01.36,10:05.69
10:39.55,10:05.69
11:27.47,10:05.71
10:45.11,10:05.72
10:52.63,10:05.74
10:41.49,10:05.77
10:26.50,10:05.81
11:30.43,10:05.81
10:33.14,10:05.84
10:58.38,10:05.85
10:16.35,10:05.86
10:04.30,10:05.89
10:16.33,10:05.89
10:44.98,10:05.89
10:43.48,10:05.96
10:12.14,10:05.97
10:54.40,10:05.98
10:28.48,10:06.04
9:35.17,10:06.05
10:33.31,10:06.07
10:43.2,10:06.07
9:56.50,10:06.12
10:04.38,10:06.14
10:45.70,10:06.15
11:25.76,10:06.16
11:00.94,10:06.23
11:04.9,10:06.24
11:05.63,10:06.26
10:12.87,10:06.27
10:48.74,10:06.29
10:29.05,10:06.33
9:37.28,10:06.38
11:10.67,10:06.39
10:09.94,10:06.39
11:43.21,10:06.40
10:39.24,10:06.43
10:35.78,10:06.48
10:11.0,10:06.50
11:20.18,10:06.52
10:35.76,10:06.53
10:20.08,10:06.55
10:43.18,10:06.56
10:46.00,10:06.58
10:18.06,10:06.59
10:43.31,10:06.60
10:08.20,10:06.63
10:26.45,10:06.74
11:01.42,10:06.75
10:42.16,10:06.77
11:07.21,10:06.77
10:36.47,10:06.79
10:28.09,10:06.79
10:40.54,10:06.80
11:15.2,10:06.84
10:52.92,10:06.84
10:13.09,10:06.87
10:14.43,10:06.87
10:47.17,10:06.88
10:42.44,10:06.90
10:20.12,10:06.90
11:04.89,10:06.90
10:28.90,10:07.00
10:52.49,10:07.01
11:07.33,10:07.05
10:07.42,10:07.09
10:17.92,10:07.11
10:21.36,10:07.16
10:04.13,10:07.16
10:37.97,10:07.17
10:08.88,10:07.18
10:27.48,10:07.23
10:46.10,10:07.23
11:55.6,10:07.30
10:06.36,10:07.32
10:45.86,10:07.33
11:01.74,10:07.37
10:26.93,10:07.39
10:34.43,10:07.40
10:00.89,10:07.41
10:40.48,10:07.55
10:50.54,10:07.56
10:15.88,10:07.59
10:19.85,10:07.60
10:17.56,10:07.61
10:57.0,10:07.62
10:59.39,10:07.62
10:31.43,10:07.63
11:06.12,10:07.67
10:53.91,10:07.68
9:49.82,10:07.70
10:26.11,10:07.70
10:10.06,10:07.75
10:31.97,10:07.79
10:39.9,10:07.80
10:18.99,10:07.80
10:03.97,10:07.81
10:01.45,10:07.95
10:48.0,10:07.97
11:30.93,10:08.01
10:01.68,10:08.02
10:09.98,10:08.16
10:19.53,10:08.17
10:31.74,10:08.19
10:42.78,10:08.20
9:55.46,10:08.21
10:21.18,10:08.22
10:42.22,10:08.25
9:56.14,10:08.26
9:50.18,10:08.31
10:07.35,10:08.31
10:36.53,10:08.33
10:58.99,10:08.36
10:02.47,10:08.37
10:39.77,10:08.37
10:14.17,10:08.40
10:24.87,10:08.41
10:56.79,10:08.42
11:34.5,10:08.43
10:33.91,10:08.43
11:08.50,10:08.46
10:48.63,10:08.50
10:33.01,10:08.57
9:40.46,9:42.0
10:32.92,10:08.58
10:16.33,10:08.59
10:25.6,10:08.60
10:22.23,10:08.62
10:49.68,10:08.62
10:21.07,10:08.63
10:17.19,10:08.75
10:18.45,10:08.75
10:59.41,10:08.75
11:11.7,10:03.96
10:54.59,10:08.77
10:29.65,10:08.80
10:28.16,10:08.80
10:20.62,10:08.84
10:31.47,10:08.98
10:10.27,10:09.10
10:51.0,10:09.12
9:56.44,10:09.13
11:20.50,10:09.16
11:59.60,10:09.16
10:38.63,10:09.18
10:12.42,10:09.19
9:54.17,10:09.19
12:29.43,10:09.20
10:55.93,10:09.21
9:53.08,10:09.31
11:00.69,10:09.33
10:51.59,10:09.35
10:50.00,10:09.36
10:34.40,10:09.37
11:12.53,10:09.40
10:31.0,10:09.40
10:44.74,10:09.42
10:12.93,10:09.42
10:58.29,10:09.46
10:33.9,10:09.50
10:51.78,10:09.50
10:01.88,10:09.54
10:19.2,10:09.55
10:16.62,10:09.67
10:18.07,10:09.71
11:03.06,10:09.75
10:22.02,10:09.81
10:39.42,10:09.81
9:54.86,10:09.87
10:57.0,10:09.96
10:30.70,10:09.98
11:11.77,10:10.03
10:16.33,10:10.05
10:11.97,10:06.0
10:45.13,10:10.19
10:51.13,10:10.21
10:25.37,10:10.26
10:22.84,10:10.29
10:30.16,10:10.29
10:28.86,10:10.31
10:11.6,10:10.31
10:19.08,10:10.32
10:35.10,10:10.34
10:54.01,10:10.46
10:00.80,10:10.46
10:33.08,10:10.52
10:42.65,10:10.54
10:31.52,10:10.58
10:16.04,10:06.5
9:41.23,10:10.65
11:03.52,10:10.74
10:24.91,10:10.79
10:45.22,10:10.81
10:55.54,10:10.89
10:32.36,10:10.89
10:26.77,10:10.90
10:38.55,10:10.99
10:24.60,10:11.00
10:38.36,10:11.04
11:06.48,9:59.9
10:45.35,10:11.06
10:36.88,10:11.10
11:05.5,10:11.16
10:25.82,10:11.19
10:04.71,10:11.21
10:37.09,10:11.28
10:48.0,10:11.30
10:49.60,10:11.32
10:30.05,10:11.34
10:18.53,10:11.34
10:42.26,10:11.37
10:22.10,10:11.47
9:56.52,10:11.50
10:28.92,10:11.51
10:11.54,10:11.51
10:55.24,10:11.51
9:39.09,10:11.59
10:09.49,10:11.59
12:06.45,10:11.61
10:30.89,10:11.61
11:05.47,10:11.63
10:03.42,10:11.65
10:25.27,10:11.65
11:21.64,10:11.68
10:03.90,10:11.70
10:41.11,10:11.72
11:11.68,10:11.72
10:49.49,10:11.74
10:58.11,10:11.77
9:37.90,10:11.78
11:00.20,10:11.79
11:02.76,10:11.82
10:47.36,10:11.86
10:00.33,10:11.91
10:44.60,10:11.99
10:21.58,10:12.00
10:27.58,10:12.05
10:12.61,10:12.05
11:22.19,10:12.08
10:17.81,10:12.09
10:19.81,10:12.12
10:20.13,10:12.16
10:17.79,10:12.17
9:49.83,10:12.21
10:48.90,10:12.23
10:53.41,10:12.23
10:32.70,10:12.31
10:44.54,10:12.35
10:43.29,10:12.36
10:22.36,10:12.38
9:58.27,10:12.40
11:00.32,10:12.42
10:19.88,10:12.48
10:30.49,10:12.50
10:26.65,10:12.50
11:20.45,10:12.56
10:08.86,10:12.56
9:59.87,10:12.57
11:51.48,10:12.59
10:43.04,10:12.62
10:15.06,10:12.67
11:14.29,10:12.69
10:10.83,10:12.71
10:13.78,10:12.72
11:18.78,10:12.78
11:03.25,10:12.78
11:02.79,10:12.65
10:24.52,10:12.80
11:18.51,10:12.80
10:38.40,10:12.81
10:19.89,10:12.81
10:48.20,10:10.2
11:54.80,10:12.85
10:32.02,10:12.90
10:32.91,10:12.91
10:14.55,10:12.95
10:21.10,10:12.95
10:43.28,10:13.01
10:23.00,10:13.04
10:42.82,10:13.09
10:08.49,10:13.10
10:47.40,10:13.15
10:03.54,10:13.15
10:39.59,10:13.20
10:24.81,10:13.23
10:33.0,10:13.23
10:42.60,10:13.24
11:16.25,10:13.31
10:56.54,10:13.34
10:50.00,10:07.3
10:57.43,10:13.45
10:17.68,10:13.46
11:04.68,10:13.48
12:08.54,10:13.50
10:49.59,10:13.53
11:01.9,10:13.54
11:05.23,10:13.60
10:19.48,10:13.61
10:35.24,10:13.64
11:28.86,10:13.66
10:00.40,10:13.69
10:16.16,10:13.69
10:51.51,10:13.69
10:39.41,10:13.77
10:35.15,10:13.77
10:26.99,10:13.78
10:18.29,10:13.79
9:47.30,10:13.81
10:13.2,10:13.82
10:09.60,10:13.91
10:20.11,10:13.91
10:22.43,10:13.93
10:55.0,10:13.94
10:47.37,10:13.95
10:49.34,10:14.01
11:11.15,10:14.02
10:49.47,10:14.05
9:46.81,10:14.09
11:27.65,10:14.11
11:43.67,10:14.16
10:56.94,10:14.20
10:41.49,10:14.25
11:11.34,10:14.27
11:48.2,10:14.29
10:33.52,10:14.31
10:00.37,10:14.32
11:03.45,10:14.33
9:15.36,10:14.37
10:03.67,10:14.38
10:37.25,10:14.39
10:22.29,10:14.39
10:57.35,10:14.45
12:33.58,10:14.47
10:22.26,10:14.47
10:38.73,10:14.49
10:28.91,10:14.50
11:15.76,10:14.52
9:57.57,10:14.54
11:46.72,10:14.60
10:44.99,10:14.61
10:58.94,10:14.63
10:33.28,10:14.67
11:02.25,10:14.67
10:18.28,10:14.69
9:37.06,10:14.70
10:22.83,10:14.70
10:17.40,10:14.71
11:56.68,10:14.72
10:04.18,10:14.75
10:41.13,10:14.76
11:04.54,10:14.83
10:55.59,10:14.85
10:05.68,10:14.85
10:30.95,10:14.91
10:54.60,10:14.96
10:53.94,10:14.98
10:30.73,10:14.98
10:51.53,10:15.00
10:25.32,10:15.02
10:20.39,10:16.82
11:27.57,10:16.82
10:27.87,10:16.86
9:51.96,10:16.88
11:28.52,10:16.90
10:13.44,10:16.92
11:50.64,10:16.93
10:37.13,10:16.93
10:49.61,10:16.97
10:16.74,10:16.99
11:35.93,10:17.03
10:35.33,10:17.08
10:16.0,10:17.10
10:14.73,10:17.10
9:51.11,10:17.18
11:02.33,10:17.19
11:26.07,10:17.20
11:26.87,10:17.21
10:38.39,10:17.21
10:22.69,10:17.22
10:15.78,10:17.25
10:24.35,10:17.26
10:52.40,10:17.28
10:27.99,10:17.29
10:42.35,10:17.30
11:01.64,10:17.31
10:38.59,10:17.31
10:43.1,10:17.31
9:43.42,10:17.36
11:03.33,10:17.38
10:03.88,10:17.40
10:39.97,10:17.45
10:46.64,10:17.53
10:40.46,10:17.54
10:56.82,10:17.57
10:17.71,10:17.57
10:35.60,10:17.62
10:34.76,10:17.63
10:49.10,10:12.73
10:23.54,10:17.67
10:17.82,10:17.72
10:26.61,10:17.72
10:15.58,10:17.73
10:50.43,10:17.77
10:40.20,10:17.78
11:03.99,10:17.78
10:28.29,10:17.83
11:20.40,10:17.84
10:12.63,10:17.91
11:20.14,10:17.96
10:51.26,10:17.98
11:19.01,10:18.00
10:41.87,10:18.00
10:21.18,10:18.01
10:23.29,10:18.01
11:44.42,10:18.08
10:40.20,10:18.10
12:22.72,10:18.12
10:11.32,10:18.13
10:57.48,10:18.14
10:42.94,10:18.18
10:47.24,10:18.18
13:07.80,10:18.20
10:59.06,10:18.26
10:56.70,9:59.0
11:17.20,10:18.30
10:31.39,10:18.30
10:51.23,10:18.40
10:36.02,10:18.42
10:46.84,10:18.43
9:59.94,10:18.47
12:01.20,10:18.50
10:27.65,10:18.51
10:58.54,10:18.54
10:10.24,10:18.54
11:18.35,10:18.57
11:41.21,10:10.0
10:14.49,10:18.60
10:41.98,10:18.65
10:46.36,10:18.66
10:15.54,10:18.72
11:16.15,10:18.77
10:38.86,10:18.82
11:08.56,10:18.82
10:30.25,10:18.83
10:13.25,10:18.88
10:37.66,10:18.89
10:42.6,10:18.91
11:01.41,10:18.96
10:10.83,10:19.00
10:09.99,10:19.01
10:44.99,10:19.03
10:41.51,10:19.04
11:04.85,10:19.05
11:14.52,10:19.06
10:52.87,10:19.13
12:11.23,10:19.18
10:35.15,10:19.22
10:31.90,10:19.23
10:11.64,10:19.25
10:35.75,10:19.32
10:56.24,10:19.33
10:59.51,10:19.33
11:13.22,10:19.34
11:09.44,10:19.35
10:11.91,10:19.37
10:28.23,10:19.42
10:34.44,10:19.42
10:16.61,10:19.42
10:38.86,10:19.44
11:10.25,10:19.45
10:41.43,10:19.46
10:24.67,10:19.52
10:59.1,10:19.54
10:51.75,10:19.54
10:44.38,10:19.54
10:30.10,10:19.55
10:01.00,10:19.55
10:49.73,10:19.57
10:33.40,10:19.57
12:10.6,10:19.58
10:25.49,10:19.60
10:52.67,10:19.66
11:44.4,10:19.69
11:24.16,10:19.70
10:25.10,10:19.73
11:00.59,10:19.80
11:30.74,10:19.88
11:01.04,10:19.89
11:04.37,10:00.86
10:56.59,10:19.94
9:46.13,10:19.96
11:30.32,10:19.97
10:49.71,10:20.05
10:42.90,10:20.12
10:36.84,10:20.15
11:43.54,10:17.42
10:50.60,10:20.16
10:30.71,10:20.16
10:34.17,10:20.22
10:53.09,10:20.22
11:18.09,10:20.23
10:42.33,10:20.24
10:46.44,10:20.25
10:42.12,10:20.26
11:00.29,10:20.26
10:56.49,10:20.27
10:22.52,10:20.29
11:14.33,10:20.32
10:18.47,10:20.35
10:45.17,10:20.35
10:34.12,10:20.36
10:19.74,10:20.36
10:22.88,10:20.37
10:24.67,10:20.37
10:57.34,10:20.41
10:26.44,10:20.45
10:36.21,10:20.53
10:00.01,10:20.54
10:17.52,10:20.59
11:42.82,10:20.64
10:34.00,10:20.65
10:16.02,10:20.66
10:23.68,10:12.0
12:06.95,10:20.69
10:32.85,10:20.71
10:04.44,10:20.76
10:23.78,10:20.76
10:16.27,10:20.79
10:42.11,10:20.80
10:24.04,10:20.81
10:47.09,10:20.81
10:10.04,10:20.82
10:50.14,10:20.82
10:27.04,10:20.3
10:32.52,10:20.86
10:38.77,10:18.3
9:57.40,10:20.94
9:57.94,10:21.08
20:00.0,10:21.10
10:48.09,10:21.13
11:19.75,10:18.59
10:35.89,10:21.16
10:29.56,10:21.18
10:03.89,10:21.23
11:13.96,10:21.25
10:25.55,10:21.27
11:17.66,10:21.28
11:00.4,10:21.30
10:36.18,10:21.32
11:03.89,10:21.33
10:34.68,10:21.39
10:42.6,10:21.48
10:23.08,10:21.48
10:12.81,10:21.52
10:42.80,10:21.52
10:22.48,10:21.56
10:15.33,10:21.58
10:21.95,10:21.60
10:46.63,10:21.62
11:01.54,10:21.64
12:02.79,10:21.66
10:47.69,10:17.7
11:36.56,10:21.79
11:20.03,10:21.89
10:21.19,10:21.89
11:21.23,10:21.91
10:51.46,10:22.07
10:43.37,10:22.08
10:06.70,10:22.11
10:41.26,10:22.12
10:40.74,10:22.13
11:02.30,10:22.13
10:33.10,10:22.13
10:37.52,10:22.15
10:18.1,10:22.15
10:23.29,10:22.16
11:39.16,10:22.16
10:37.85,10:22.17
10:42.04,10:22.19
11:47.78,10:22.22
11:12.75,10:22.24
11:25.83,10:20.0
11:14.56,10:22.25
11:36.82,10:22.28
10:34.90,10:08.98
10:40.10,10:22.32
11:17.67,10:22.32
10:06.66,10:22.33
11:49.33,10:22.33
10:14.95,10:22.34
10:13.91,10:22.39
10:09.00,10:22.39
10:08.37,10:22.41
11:52.84,10:22.43
10:04.50,10:22.45
10:28.06,10:22.49
10:22.98,10:22.53
10:43.01,10:22.56
10:28.01,10:22.58
11:08.12,10:22.59
11:50.64,10:22.64
10:39.61,10:22.66
9:49.08,10:22.68
11:02.36,10:22.75
11:38.37,10:22.76
11:14.64,10:22.82
10:12.49,10:22.83
10:40.76,10:22.84
10:50.5,10:22.85
10:14.01,10:22.89
10:51.36,10:22.90
11:14.18,10:22.91
11:06.83,10:22.95
11:07.33,10:23.00
11:24.14,10:23.06
10:36.57,10:23.08
10:30.46,10:23.08
10:51.32,10:19.2
10:16.82,10:23.11
11:31.83,10:23.13
11:09.25,10:23.15
10:18.59,10:23.16
10:18.07,10:23.25
10:43.93,10:23.31
10:50.04,10:23.35
10:43.39,10:23.36
11:10.84,10:23.43
10:34.30,10:23.46
10:57.61,10:23.47
10:42.84,10:23.47
10:09.77,10:00.55
10:52.74,10:23.49
10:44.60,10:22.9
10:40.93,10:23.52
12:32.2,10:23.52
10:28.26,10:23.62
10:05.69,10:23.62
10:14.74,10:23.62
10:26.81,10:23.63
10:38.33,10:23.66
10:44.51,10:23.66
10:19.86,10:23.66
10:37.95,10:23.70
10:46.11,10:23.71
12:42.78,10:23.76
10:06.54,10:23.76
10:33.66,10:23.76
10:50.91,10:23.79
10:37.79,10:23.81
11:06.33,10:23.85
10:24.37,10:23.86
11:00.8,10:23.87
10:32.2,10:23.91
11:04.91,10:23.94
10:53.92,10:23.97
10:23.30,10:23.99
10:47.46,10:24.02
11:07.32,10:24.04
10:40.83,10:24.04
10:55.34,10:21.0
10:19.58,10:24.12
10:51.5,10:24.17
11:12.60,10:24.18
10:47.25,10:24.19
10:48.84,10:24.22
11:13.98,10:24.25
11:59.85,10:24.25
10:07.55,10:24.27
10:37.0,10:24.30
10:47.53,10:24.36
10:39.78,10:24.39
10:17.54,10:23.98
11:08.16,10:24.43
10:42.32,10:24.45
11:34.71,10:24.45
10:57.90,10:24.49
10:52.19,10:24.53
10:43.74,10:22.02
11:20.68,10:24.57
10:58.60,10:24.59
10:48.67,10:24.60
10:49.24,10:24.61
11:08.72,10:24.63
10:33.88,10:24.71
11:38.48,10:24.74
10:58.80,10:24.75
11:20.81,10:24.76
10:49.04,10:24.76
10:36.7,10:24.80
11:01.16,10:24.88
11:29.90,10:24.89
10:44.76,10:24.91
10:38.38,10:24.91
10:54.75,10:24.92
10:31.01,10:24.94
11:00.65,10:24.96
10:43.86,10:24.96
11:12.66,10:24.97
11:16.25,10:25.01
11:09.59,10:25.07
10:20.28,10:25.09
10:59.11,10:25.09
11:09.73,10:25.09
11:10.58,10:25.13
10:38.00,10:25.15
9:56.63,10:25.15
9:47.39,10:25.16
10:49.44,10:25.17
10:56.4,10:25.20
11:39.08,10:25.25
10:30.30,10:25.25
10:45.20,10:25.27
10:31.50,10:25.28
10:24.05,10:25.29
10:57.49,10:25.29
12:11.83,10:25.30
11:13.50,10:25.32
10:56.61,10:25.36
10:40.95,10:25.36
10:46.73,10:25.47
10:29.22,10:25.53
10:44.76,10:25.54
11:27.3,10:25.55
10:02.91,10:25.56
11:09.30,10:25.57
11:20.20,10:25.62
10:36.6,10:25.62
10:46.4,10:25.62
10:47.59,10:25.64
10:42.86,10:25.65
10:56.14,10:25.74
11:38.98,10:25.77
12:24.77,10:25.78
10:26.7,10:25.81
10:43.12,10:25.82
10:41.95,10:25.84
11:15.48,10:25.84
10:57.77,10:13.31
11:47.81,10:23.35
11:11.00,10:25.98
10:30.99,10:26.02
10:26.10,10:26.11
10:21.42,10:26.21
10:00.47,10:26.23
10:33.89,10:26.28
10:16.39,10:26.30
10:49.26,10:26.30
11:10.96,10:26.32
10:37.64,10:26.34
10:22.54,10:26.39
10:55.05,10:26.40
11:23.62,10:26.44
10:57.79,10:26.47
10:42.36,10:26.48
11:16.67,10:26.48
11:14.67,10:26.50
11:23.62,10:26.50
11:50.02,10:26.51
11:19.83,10:26.52
11:07.8,10:26.54
11:18.97,10:26.54
11:11.11,10:26.57
10:49.75,10:26.59
11:08.78,10:26.61
10:43.26,10:26.62
11:07.44,10:26.64
10:26.13,10:26.70
10:21.69,10:26.70
10:33.59,10:26.73
10:50.25,10:26.73
11:00.74,10:26.76
10:09.44,10:26.79
11:14.51,10:26.80
10:49.60,10:26.83
10:28.34,10:26.85
11:14.33,10:26.86
11:11.87,10:26.88
11:36.9,10:26.88
10:49.08,10:26.91
11:04.92,10:26.93
10:22.45,10:26.94
10:45.49,10:26.95
11:57.81,10:26.96
10:17.38,10:26.97
10:35.75,10:27.02
10:44.97,10:27.05
10:12.88,10:27.06
10:16.52,10:27.08
11:33.5,10:27.10
11:28.53,10:27.14
11:11.22,10:27.19
10:54.85,10:27.19
10:17.76,10:27.20
10:46.26,10:27.27
10:59.44,10:27.28
10:38.33,10:27.29
10:37.45,10:27.37
11:31.8,10:27.38
10:55.50,10:27.40
10:23.14,10:27.41
10:10.24,10:27.43
10:55.04,10:27.45
10:54.77,10:27.46
10:19.00,10:27.47
10:44.04,10:24.34
11:21.17,10:27.52
11:39.21,10:27.54
10:29.17,10:27.58
10:18.03,10:27.59
11:24.29,10:27.60
11:11.2,10:27.68
10:29.48,10:27.68
10:40.37,10:27.81
11:45.66,10:27.85
10:49.39,10:27.86
10:45.21,10:27.90
10:53.76,10:27.91
10:15.22,10:27.94
11:11.38,10:27.99
10:42.8,10:28.03
10:16.56,10:28.03
11:03.81,10:28.03
10:24.42,10:28.05
10:53.17,10:28.11
12:09.68,10:28.14
10:56.06,10:28.16
11:01.75,10:28.17
11:32.03,10:28.18
10:36.00,10:28.24
9:51.75,10:28.27
10:39.68,10:28.30
10:48.38,10:28.34
10:17.99,10:28.39
11:19.09,10:23.47
10:30.13,10:28.40
10:15.54,10:28.42
10:44.60,10:28.44
10:27.59,10:28.44
11:18.21,10:28.45
10:53.11,10:28.46
10:38.43,10:28.46
10:54.38,10:28.53
10:55.85,10:28.55
10:36.64,10:28.57
11:34.46,10:28.59
10:44.27,10:28.59
9:55.79,10:28.62
11:09.95,10:28.63
9:26.43,10:28.69
10:36.25,10:28.76
10:31.52,10:28.76
10:52.11,10:28.77
10:14.07,10:28.77
11:05.77,10:28.78
10:40.80,10:28.79
10:41.77,10:28.79
12:04.27,10:28.80
10:55.89,10:28.86
11:11.11,10:28.96
10:53.67,10:29.00
10:54.84,10:29.01
10:24.45,10:29.02
12:05.5,10:29.03
10:59.53,10:29.07
11:43.58,10:29.14
10:01.82,10:29.19
10:27.99,10:29.25
10:32.70,10:29.27
10:12.18,10:29.29
10:35.80,10:29.30
10:59.77,10:13.0
10:34.66,10:29.32
10:00.10,10:29.34
11:08.40,10:29.34
11:01.30,10:29.35
11:11.37,10:29.40
10:08.3,10:29.41
10:37.81,10:29.43
12:48.57,10:29.50
10:33.57,10:29.51
11:16.48,10:29.52
11:02.15,10:29.53
11:33.30,10:29.56
10:25.11,10:29.60
11:14.46,10:29.62
10:46.25,10:29.63
10:33.77,10:29.67
11:42.12,10:29.68
10:49.90,10:29.73
11:19.34,10:29.76
10:58.86,10:29.79
10:38.64,10:29.80
10:25.45,10:29.89
10:16.83,10:29.90
10:20.52,10:29.91
10:35.18,10:29.98
10:20.00,10:30.00
11:05.00,10:30.05
10:18.66,10:30.10
10:21.27,10:27.1
11:09.42,10:30.14
11:14.60,10:30.16
11:00.0,10:31.68
11:32.36,10:31.69
10:14.65,10:31.70
10:59.37,10:31.75
10:42.73,10:31.76
11:21.26,10:31.80
11:00.54,10:31.83
11:15.5,10:31.88
11:04.51,10:31.89
10:28.77,10:31.91
10:25.75,10:32.00
11:30.26,10:32.00
11:35.75,10:32.00
11:47.40,10:32.01
11:05.81,10:32.03
10:30.80,10:32.08
10:29.53,10:11.3
11:13.23,10:32.10
10:57.66,10:32.10
11:10.29,10:32.13
10:39.26,10:32.13
11:03.8,10:32.15
10:07.10,10:32.17
11:29.7,10:32.19
11:18.28,10:32.20
11:13.44,10:32.21
10:47.71,10:32.35
10:38.44,10:32.37
12:41.36,10:32.41
11:16.91,10:32.50
10:02.86,10:32.56
11:37.79,10:32.57
11:40.00,10:32.57
11:05.43,10:32.58
10:49.06,10:32.69
10:52.89,10:32.71
11:25.17,10:32.72
10:35.58,10:32.78
10:48.06,10:32.84
10:17.97,10:32.85
10:36.90,10:32.90
10:45.0,10:32.97
10:54.84,10:33.05
11:04.30,10:33.12
10:33.06,10:33.15
10:48.94,10:33.17
11:31.37,10:33.17
12:16.36,10:33.19
10:31.33,10:33.20
10:45.66,10:33.21
11:25.94,10:33.23
11:06.02,10:33.25
9:38.55,10:33.25
10:39.32,10:33.29
11:08.72,10:33.32
11:08.73,10:33.33
11:31.42,10:33.34
11:23.87,10:33.35
11:00.32,10:33.36
12:05.68,10:33.36
10:28.27,10:33.40
11:03.46,10:33.41
10:59.06,10:33.42
10:53.72,10:33.42
11:00.45,10:33.46
10:20.24,10:33.48
10:54.22,10:33.58
11:12.70,10:33.65
10:45.05,10:33.66
10:36.62,10:33.73
10:11.29,10:33.76
10:07.11,10:33.77
10:39.11,10:33.78
11:40.0,10:33.84
12:07.94,10:33.86
10:43.40,10:33.88
10:44.69,10:33.88
11:00.69,10:33.92
10:28.41,10:33.95
10:45.66,10:34.02
10:18.31,10:34.03
10:30.77,10:34.05
11:19.32,10:34.06
10:07.35,10:34.06
10:58.53,10:34.12
10:45.27,10:34.15
10:37.75,10:34.20
11:00.52,10:34.26
10:59.17,10:34.26
11:33.78,10:34.29
9:58.06,10:34.30
10:43.97,10:34.36
11:10.52,10:34.40
10:47.68,10:34.42
10:47.67,10:34.42
10:41.29,10:34.50
11:47.40,10:34.50
10:47.86,10:34.52
10:21.10,10:34.55
